scenario,tz_name,daio,year,flights
Actual,BLUE MED FAB,AD,2013,1047636
Actual,BLUE MED FAB,I,2013,438352
Actual,BLUE MED FAB,O,2013,707561
Actual,BLUE MED FAB,T,2013,2193549
Actual,Baltic FAB,AD,2013,269822
Actual,Baltic FAB,I,2013,46582
Actual,Baltic FAB,O,2013,459595
Actual,Baltic FAB,T,2013,775999
Actual,Belgium/Luxembourg,AD,2013,360429
Actual,Belgium/Luxembourg,I,2013,7424
Actual,Belgium/Luxembourg,O,2013,732746
Actual,Belgium/Luxembourg,T,2013,1100599
Actual,Bosnia and Herzegovina,AD,2013,12315
Actual,Bosnia and Herzegovina,I,2013,452
Actual,Bosnia and Herzegovina,O,2013,249700
Actual,Bosnia and Herzegovina,T,2013,262467
Actual,Bulgaria,AD,2013,62595
Actual,Bulgaria,I,2013,4298
Actual,Bulgaria,O,2013,483647
Actual,Bulgaria,T,2013,550540
Actual,Croatia,AD,2013,66452
Actual,Croatia,I,2013,8366
Actual,Croatia,O,2013,417564
Actual,Croatia,T,2013,492382
Actual,Cyprus,AD,2013,56344
Actual,Cyprus,I,2013,684
Actual,Cyprus,O,2013,220366
Actual,Cyprus,T,2013,277394
Actual,Czech Republic,AD,2013,138550
Actual,Czech Republic,I,2013,4426
Actual,Czech Republic,O,2013,536591
Actual,Czech Republic,T,2013,679567
Actual,DK-SE FAB,AD,2013,481083
Actual,DK-SE FAB,I,2013,215880
Actual,DK-SE FAB,O,2013,302340
Actual,DK-SE FAB,T,2013,999303
