scenario,tz_name,daio,year,flights
Actual,Bulgaria,AD,2013,62595
Actual,Bulgaria,I,2013,4298
Actual,Bulgaria,O,2013,483647
Actual,Bulgaria,T,2013,550540
Actual,Croatia,AD,2013,66452
Actual,Croatia,I,2013,8366
Actual,Croatia,O,2013,417564
Actual,Croatia,T,2013,492382
Actual,Cyprus,AD,2013,56344
Actual,Cyprus,I,2013,684
Actual,Cyprus,O,2013,220366
Actual,Cyprus,T,2013,277394
Actual,Czech Republic,AD,2013,138550
Actual,Czech Republic,I,2013,4426
Actual,Czech Republic,O,2013,536591
Actual,Czech Republic,T,2013,679567
Actual,DK-SE FAB,AD,2013,481083
Actual,DK-SE FAB,I,2013,215880
Actual,DK-SE FAB,O,2013,302340
Actual,DK-SE FAB,T,2013,999303
